"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"PURCHASE-URL";"SPICEMODEL";"SPICEPREFIX";"SUPPLIER";"TP_SIGNAL_NAME";"VALUE";
"1";"";"LED3MM";"LED3MM";"LED1";"LEDs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"TAC_SWITCH_KSC931G-SMD";"TAC_SW_SMD_KSC931G";"S2";"Momentary Switch";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0.025R / 1W";"RR2512";"R2512";"R12";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";"";"";"";
"1";"0R";"RESISTOR0805";"0805";"R15";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";"";" ";
"32";"100n 50v X7R/X5R";"CAP0805";"0805";"C2, C4, C5, C6, C7, C8, C10, C12, C14, C16, C20, C22, C23, C24, C25, C27, C28, C29, C31, C32, C33, C34, C36, C44, C47, C48, C49, C50, C53, C58, C60, C66";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"10K";"RESISTOR0805";"0805";"R1, R32, R39, R40, R42, R66";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";"";" ";
"1";"10nF";"CAP0805";"0805";"C37";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"10uF 50V X5R/X7R";"CAP1206";"1206";"C26, C35, C43, C51";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"11K";"RESISTOR0805";"0805";"R3, R43";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";"";" ";
"1";"130R";"RESISTOR0805";"0805";"R35";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";"";" ";
"2";"150K";"RESISTOR0805";"0805";"R37, R41";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";"";" ";
"1";"15K";"RESISTOR0805";"0805";"R11";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";"";" ";
"1";"16pF";"CAP0805";"0805";"C38";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"180K";"RESISTOR0805";"0805";"R7";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";"";" ";
"6";"1K";"RESISTOR0805";"0805";"R2, R19, R20, R25, R27, R46";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";"";" ";
"1";"1K4";"RESISTOR0805";"0805";"R6";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";"";" ";
